Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Wells, David",lhp-s,44,Type B,SDN,SDN,0,"$3,000,000 ",2007,,,"$3,000,000",Gregg Clifton,John Moores,Kevin Towers,
"Millar, Kevin",1b,35,Type A,BAL,BAL,1,"$2,750,000 ",2007,vesting,,"$2,750,000",ACES,Peter Angelos,Mike Flanagan,
"White, Rondell",of,35,,MIN,MIN,1,"$2,750,000 ",2007,vesting,,"$2,750,000",ACES,Carl Pohlad,Terry Ryan,
"Barajas, Rod",c,31,Type B,TEX,PHI,1,"$2,500,000 ",2007,club,,"$2,500,000",Dan Lozano,Bill Giles,Pat Gillick,
"Loretta, Mark",2b,35,Type A,BOS,HOU,1,"$2,500,000 ",2007,,,"$2,500,000",RMG Baseball,Drayton McLane,Tim Purpura,
"Mesa, Jose",rhp,41,Type B,COL,DET,1,"$2,500,000 ",2007,,,"$2,500,000",Mitch Frankel,Mike Ilitch,Dave Dombrowski,
"Riske, David",rhp,30,Type A,CHA,KCA,1,"$2,250,000 ",2007,club,,"$2,250,000",John Boggs,David Glass,Dayton Moore,
"Wilson, Craig",of,30,Type C,NYA,ATL,1,"$2,000,000 ",2007,,,"$2,000,000",Steve Hillard,Time Warner,John Schuerholz,
"Klesko, Ryan",1b,36,Type B,SDN,SFN,1,"$1,750,000 ",2007,,,"$1,750,000",Hendricks Sports,Peter Magowan,Brian Sabean,
"Oliver, Darren",lhp,36,Type B,NYN,ANA,1,"$1,750,000 ",2007,club,,"$1,750,000",Jay Franklin,Arturo Moreno,Bill Stoneman,
"Springer, Russ",rhp,38,Type A,HOU,SLN,1,"$1,750,000 ",2007,,,"$1,750,000",Hendricks Sports,Bill DeWitt Jr.,Walt Jocketty,
"Wood, Kerry",rhp,30,,CHN,CHN,1,"$1,750,000 ",2007,,,"$1,750,000",SFX,Tribune Co.,Jim Hendry,
"Fultz, Aaron",lhp,33,Type A,PHI,CLE,1,"$1,650,000 ",2007,club,,"$1,650,000",,Larry Dolan,Mark Shapiro,
"Romero, J.C.",lhp,31,,ANA,BOS,1,"$1,600,000 ",2007,,,"$1,600,000",Dan Lozano,John Henry,Theo Epstein,
"Cirillo, Jeff",3b,38,,MIL,MIN,1,"$1,500,000 ",2007,,,"$1,500,000",Jeff Borris,Carl Pohlad,Terry Ryan,
"Clayton, Royce",ss,37,Type C,CIN,TOR,1,"$1,500,000 ",2007,,,"$1,500,000",Rick Licht,Edward Rogers,J.P. Ricciardi,
"Matsui, Kazuo",2b,31,,COL,COL,1,"$1,500,000 ",2007,,,"$1,500,000",John Kim,Monfort brothers,Dan O'Dowd,
"Mientkiewicz, Doug",1b,33,Type C,KCA,NYA,1,"$1,500,000 ",2007,,,"$1,500,000",SFX,Geo Steinbrenner,Brian Cashman,
"Ohka, Tomo",rhp-s,31,Type B,MIL,MIL,1,"$1,500,000 ",2007,,,"$1,500,000",Jim Masteralexis,Mark Attanasio,Doug Melvin,
"Lieberthal, Mike",c,35,Type A,PHI,LAN,1,"$1,250,000 ",2017,club,,"$1,250,000",Arn Tellem,Frank McCourt,Ned Colletti,
"Ward, Daryle",1b,32,,ATL,CHN,1,"$1,050,000 ",2007,club,,"$1,050,000",,Tribune Co.,Jim Hendry,
"Erstad, Darin",of-1b,33,,ANA,CHA,1,"$1,000,000 ",2007,club,,"$1,000,000",Greg Genske,Jerry Reinsdorf,Ken Williams,
"Franklin, Ryan",rhp,34,Type C,CIN,SLN,1,"$1,000,000 ",2007,,,"$1,000,000",Jay Franklin,Bill DeWitt Jr.,Walt Jocketty,
"Stewart, Shannon",of,33,Type C,MIN,OAK,1,"$1,000,000 ",2007,,,"$1,000,000",Greg Genske,Lewis Wolff,Billy Beane,
"Wilson, Preston",of,32,Type B,SLN,SLN,1,"$1,000,000 ",2007,,,"$1,000,000",Bobby Bry,Bill DeWitt Jr.,Walt Jocketty,
"Boone, Aaron",3b,34,,CLE,FLA,1,"$925,000 ",2007,,,"$925,000",Adam Katz,Jeffrey Loria,Larry Beinfest,
"Bako, Paul",c,35,,KCA,BAL,1,"$900,000 ",2007,,,"$900,000",Meister Sports,Peter Angelos,Mike Flanagan,
"Bennett, Gary",c,35,,SLN,SLN,1,"$900,000 ",2007,club,,"$900,000",,Bill DeWitt Jr.,Walt Jocketty,
"Blum, Geoff",3b,34,,SDN,SDN,1,"$900,000 ",2007,,,"$900,000",Arn Tellem,John Moores,Kevin Towers,
"Easley, Damion",2b,37,,ARI,NYN,1,"$850,000 ",2007,,,"$850,000",Paul Cohen,Fred Wilpon,Omar Minaya,
"Gomez, Chris",ss,36,Type C,BAL,BAL,1,"$850,000 ",2007,,,"$850,000",Alan Meersand,Peter Angelos,Mike Flanagan,
"Woodward, Chris",ss,31,,NYN,ATL,1,"$850,000 ",2007,,,"$850,000",Tommy Tanzer,Time Warner,John Schuerholz,
"Martin, Tom",lhp,37,,COL,COL,1,"$800,000 ",2007,club,,"$800,000",,Monfort brothers,Dan O'Dowd,
"Cairo, Miguel",2b,33,,NYA,NYA,1,"$750,000 ",2007,,,"$750,000",ACES,Geo Steinbrenner,Brian Cashman,
"Mirabelli, Doug",c,36,,BOS,BOS,1,"$750,000 ",2007,,,"$750,000",ACES,John Henry,Theo Epstein,
"Sturtze, Tanyon",rhp,36,,NYA,ATL,1,"$750,000 ",2007,,,"$750,000",SFX,Time Warner,John Schuerholz,
"Park, Chan Ho",rhp-s,34,Type B,SDN,NYN,1,"$600,000 ",2007,,,"$600,000",Jeff Borris,Fred Wilpon,Omar Minaya,
"Brocail, Doug",rhp,40,,SDN,SDN,1,"$500,000 ",2007,,,"$500,000",Meister Sports,John Moores,Kevin Towers,
"Thomson, John",rhp,33,,ATL,TOR,1,"$500,000 ",2007,,,"$500,000",Chris Arnold,Edward Rogers,J.P. Ricciardi,
"Ortiz, Russ",rhp,33,,BAL,SFN,1,"$380,000 ",2007,,,"$380,000",John Boggs,Peter Magowan,Brian Sabean,
"Alomar, Sandy Jr.",c,41,,CHN,NYN,0,$1 ,2007,,,,John Boggs,Fred Wilpon,Omar Minaya,"$700,000 in majors"
"Belliard, Ronnie",2b,32,Type A,SLN,WAS,0,$1 ,2007,,,,Dominic Torres,Ted Lerner,Jim Bowden,"$750,000 in majors"
"Chen, Bruce",lhp-s,30,,BAL,TEX,0,$1 ,2007,,,,Boras Corp.,Tom Hicks,Jon Daniels,$1.1M in majors
"DeJean, Mike",rhp,36,,COL,COL,0,$1 ,2007,,,,,Monfort brothers,Dan O'Dowd,"$700,000 in majors"
"Diaz, Einar",c,34,,LAN,PIT,0,$1 ,2007,,,,,McClatchy/Nutting,Dave Littlefield,"$600,000 in majors"
"DiFelice, Mike",c,38,,NYN,NYN,0,$1 ,2007,,,,,Fred Wilpon,Omar Minaya,"$600,000 in majors"
"Estes, Shawn",lhp-s,34,,SFN,SDN,0,$1 ,2007,,,,Dave Meier,John Moores,Kevin Towers,"$550,000 in majors"
"Fick, Robert",1b,33,,WAS,WAS,0,$1 ,2007,,,,Joe Longo,Ted Lerner,Jim Bowden,"$850,000 in majors"
"Finley, Steve",of,42,,SFN,COL,0,$1 ,2007,,,,Casey Close,Monfort brothers,Dan O'Dowd,$1M in majors
"Gonzalez, Alex S.",ss,34,Type B,PHI,KCA,0,$1 ,2007,,,,Bronner/Gilhooley,David Glass,Dayton Moore,"$700,000 in majors"
"Greene, Todd",c,36,,SFN,SDN,0,$1 ,2007,,,,Mike Nicotera,John Moores,Kevin Towers,"$700,000 in majors"
"Guardado, Eddie",lhp,36,Type A,CIN,CIN,0,$1 ,2007,club,,,Kevin Kohler,Bob Castellini,Wayne Krivsky,"$500,000 in majors"
"Herges, Matt",rhp,37,,FLA,COL,0,$1 ,2007,,,,Dan Horwits,Monfort brothers,Dan O'Dowd,"$600,000 in majors"
"Hernandez, Jose",ss,37,,PHI,PIT,0,$1 ,2007,,,,Boras Corp.,McClatchy/Nutting,Dave Littlefield,"$900,000 in majors"
"Iriki, Yusaku",rhp,34,,NYN,TOR,0,$1 ,2007,,,,,Edward Rogers,J.P. Ricciardi,
"King, Ray",lhp,33,,COL,WAS,0,$1 ,2007,,,,Tom O'Connell,Ted Lerner,Jim Bowden,"$850,000 in majors"
"Kolb, Dan",rhp,32,,MIL,PIT,0,$1 ,2007,,,,,McClatchy/Nutting,Dave Littlefield,$1.25M in majors
"Ledee, Ricky",of,33,,NYN,OAK,0,$1 ,2007,,,,Greg Genske,Lewis Wolff,Billy Beane,"$700,000 in majors"
"Mabry, John",1b,36,,CHN,COL,0,$1 ,2007,,,,Dale Reichley,Monfort brothers,Dan O'Dowd,"$750,000 in majors"
"Meadows, Brian",rhp,31,Type B,TBA,CIN,0,$1 ,2007,,,,Dan Horwits,Bob Castellini,Wayne Krivsky,"$600,000 in majors"
"Merloni, Lou",2b,36,,CLE,OAK,0,$1 ,2007,,,,,Lewis Wolff,Billy Beane,"$600,000 in majors"
"Moehler, Brian",rhp-s,35,,FLA,HOU,0,$1 ,2007,,,,Career Sports,Drayton McLane,Tim Purpura,"$500,000 in majors"
"Nelson, Jeff",rhp,40,,CHA,NYA,0,$1 ,2007,,,,Jay Franklin,Geo Steinbrenner,Brian Cashman,
"Percival, Troy",rhp,37,Type C,DET,SLN,0,$1 ,2007,,,,Paul Cohen,Bill DeWitt Jr.,Walt Jocketty,
"Perez, Eduardo",1b,37,,SEA,CHA,0,$1 ,2007,,,,,Jerry Reinsdorf,Ken Williams,"$575,000 in majors"
"Perez, Tomas",ss,33,,TBA,CHN,0,$1 ,2007,,,,,Tribune Co.,Jim Hendry,"$650,000 in majors"
"Pratt, Todd",c,40,,ATL,NYA,0,$1 ,2007,,,,,Geo Steinbrenner,Brian Cashman,"$750,000 in majors"
"Redman, Mark",lhp-s,33,,KCA,ATL,0,$1 ,2007,,,,Casey Close,Time Warner,John Schuerholz,
"Rhodes, Arthur",lhp,37,Type B,PHI,SEA,0,$1 ,2007,,,,Dan Horwits,Nintendo/America,Bill Bavasi,$1M in majors
"Seanez, Rudy",rhp,38,Type A,SDN,LAN,0,$1 ,2007,,,,Alan Nero,Frank McCourt,Ned Colletti,"$700,000 in majors"
"Sele, Aaron",rhp-s,37,,LAN,NYN,0,$1 ,2007,,,,Adam Katz,Fred Wilpon,Omar Minaya,$1M in majors
"Stairs, Matt",of,39,Type C,DET,TOR,0,$1 ,2007,,,,RMG Baseball,Edward Rogers,J.P. Ricciardi,"$850,000 in majors"
"Tatis, Fernando",3b,32,,BAL,LAN,0,$1 ,2007,,,,Gary Goodman,Frank McCourt,Ned Colletti,"$500,000 in majors"
"Villone, Ron",lhp,37,Type B,NYA,NYA,0,$1 ,2007,,,,Boras Corp.,Geo Steinbrenner,Brian Cashman,$2.5M in majors
"White, Rick",rhp,38,Type C,PHI,HOU,0,$1 ,2007,,,,Dan Horwits,Drayton McLane,Tim Purpura,"$600,000 in majors"
"Wilson, Paul",rhp,34,,CIN,CIN,0,$1 ,2007,,,,Hendricks Sports,Bob Castellini,Wayne Krivsky,"$500,000 in majors"
"Wright, Jamey",rhp,32,,SFN,TEX,0,$1 ,2007,,,,Casey Close,Tom Hicks,Jon Daniels,"$900,000 in majors"
,,,,,,,,,,,,,,,
REMAINING FREE AGENTS (21),,,,,,,,,,,,,,,
"Bagwell, Jeff",1b,39,,HOU,dnp,,,,,,,,,,
"Bell, David",3b,34,Type C,MIL,dnp,,,,,,,,,,
"Burnitz, Jeromy",of,38,Type B,PIT,dnp,,,,,,,,,,
"Castilla, Vinny",3b,39,,COL,dnp,,,,,,,,,,
"Helling, Rick",rhp-s,36,Type B,MIL,dnp,,,,,,,,,,
"Hermanson, Dustin",rhp,34,Type A,CHA,dnp,,,,,,,,,,
"Hitchcock, Sterling",lhp,36,,SDN,dnp,,,,,,,,,,
"Hollandsworth, Todd",of,34,,CIN,dnp,,,,,,,,,,
"Johnson, Jason",rhp,33,,CIN,dnp,,,,,,,,,,
"Jordan, Brian",of,40,,ATL,dnp,,,,,,,,,,
"Kapler, Gabe",of,31,,BOS,dnp,,,,,,,,,,
"Karsay, Steve",rhp,35,,OAK,dnp,,,,,,,,,,
"Mercker, Kent",lhp,39,Type B,CIN,dnp,,,,,,,,,,
"Nevin, Phil",1b,36,,MIN,dnp,,,,,,,,,,
"Radke, Brad",rhp-s,34,Type C,MIN,dnp,,,,,,,,,,
"Randa, Joe",3b,37,Type C,PIT,dnp,,,,,,,,,,
"Tucker, Michael",rf,36,,NYN,dnp,,,,,,,,,,
"Vizcaino, Jose",ss,39,,SLN,dnp,,,,,,,,,,
"Widger, Chris",c,36,,BAL,dnp,,,,,,,,,,
"Williams, Bernie",of,38,Type C,NYA,dnp,,,,,,,,,,
"Young, Eric",2b,40,,TEX,dnp,,,,,,,,,,
